CLK,RTL,SYN,GATE,Area,Slack,Cost
11.4,PASS,VIOLATED,-,829367.995373,-1.67,VIOLATION
12.2,PASS,VIOLATED,-,797767.191223,-0.93,VIOLATION
12.6,PASS,VIOLATED,-,820180.47859,-0.64,VIOLATION
12.8,PASS,VIOLATED,-,807729.763897,-0.37,VIOLATION
12.9,PASS,VIOLATED,-,817805.429024,-0.33,VIOLATION
13.1,SKIPPED,MET,SKIPPED,810647.017258,0.0,2718585837.08
13.2,SKIPPED,MET,SKIPPED,810700.239587,0.0,2739518249.61
13.4,SKIPPED,MET,SKIPPED,802470.72528,0.0,2752795576.0
13.8,SKIPPED,MET,SKIPPED,777785.51139,0.0,2747760654.64
14.7,SKIPPED,MET,SKIPPED,743546.873246,0.0,2798115593.4
16.5,SKIPPED,MET,SKIPPED,726775.167253,0.0,3069898306.48
17.9,SKIPPED,MET,SKIPPED,701734.02802,0.01,3215626010.0
18.0,SKIPPED,MET,SKIPPED,700952.324218,0.0,3229988310.0
