CLK,RTL,SYN,GATE,Area,Slack,Cost
5.5,PASS,MET,PASS,38303.798323,0.0,1474696.24
5.5,SKIPPED,MET,SKIPPED,38303.798323,0.0,1474696.24
4.7,PASS,VIOLATED,-,53321.586895,-0.48,VIOLATION
5.1,PASS,VIOLATED,-,49746.815726,-0.2,VIOLATION
5.3,PASS,MET,PASS,47884.4349,0.0,1776512.53
5.3,SKIPPED,MET,SKIPPED,47884.4349,0.0,1776512.53
5.2,PASS,VIOLATED,-,51643.569326,-0.07,VIOLATION
5.4,PASS,MET,PASS,43881.566272,0.0,1658723.21
5.4,SKIPPED,MET,SKIPPED,43881.566272,0.0,1658723.21
5.6,PASS,MET,PASS,37063.25272,0.0,1452879.51
5.6,SKIPPED,MET,SKIPPED,37063.25272,0.0,1452879.51
5.7,PASS,MET,PASS,35853.955138,0.0,1430572.81
5.7,SKIPPED,MET,SKIPPED,35853.955138,0.0,1430572.81
5.8,PASS,MET,PASS,35791.459124,0.0,1453133.24
5.8,SKIPPED,MET,SKIPPED,35791.459124,0.0,1453133.24
5.9,PASS,MET,PASS,34300.929568,0.0,1416628.39
5.9,SKIPPED,MET,SKIPPED,34300.929568,0.0,1416628.39
6.0,PASS,MET,PASS,34435.295965,0.0,1446282.43
6.0,SKIPPED,MET,SKIPPED,34435.295965,0.0,1446282.43
6.1,PASS,MET,PASS,33029.135961,0.0,1410344.11
6.1,SKIPPED,MET,SKIPPED,33029.135961,0.0,1410344.11
6.2,PASS,MET,PASS,33597.849577,0.0,1458146.67
6.2,SKIPPED,MET,SKIPPED,33597.849577,0.0,1458146.67
